ID,Hclass
11281,2
21564,2
22373,2
8068,2
41641,2
11067,2
21403,2
37641,2
20672,2
14877,2
739,2
2692,2
16927,2
9348,2
28274,2
3125,2
543,2
24957,2
17019,2
47857,2
27348,2
17417,2
34199,2
35501,2
34978,2
41731,2
8673,2
15936,2
48278,2
22838,2
8738,2
3896,2
7045,2
40417,2
16855,2
10698,2
38461,2
33040,2
48561,2
33188,2
29229,2
31328,2
22747,2
43319,2
29289,2
38809,2
2370,2
2706,2
25902,2
32568,2
39751,2
39093,2
24754,2
14806,2
27005,2
7739,2
7643,2
44427,2
24446,2
35382,2
22102,2
7318,2
23680,2
34454,2
5768,2
23174,2
28260,2
37189,2
105,2
28473,2
25628,2
32382,2
10724,2
10707,2
43360,2
35596,2
33146,2
41950,2
11706,2
4081,2
34249,2
42196,2
20353,2
5444,2
43855,2
42734,2
4765,2
23159,2
26513,2
13448,2
46918,2
3555,2
45524,2
3951,2
41052,2
2096,2
22678,2
4847,2
46280,2
34099,2
21702,2
25447,2
18236,2
22904,2
38181,2
23704,2
39171,2
4941,2
2341,2
32441,2
27866,2
10779,2
21566,2
4079,2
48665,2
32155,2
4999,2
44268,2
3708,2
14570,2
43671,2
19325,2
8042,2
25462,2
26049,2
33399,2
20360,2
37217,2
45914,2
5894,2
25967,2
17815,2
27636,2
6017,2
2802,2
17844,2
37709,2
19082,2
20967,2
34744,2
4707,2
13469,2
34321,2
11439,2
35215,2
32005,2
26223,2
10646,2
43195,2
23243,2
29501,2
25412,2
26440,2
45879,2
978,2
42693,2
17409,2
23170,2
30501,2
30672,2
29648,2
18217,2
45107,2
48387,2
33143,2
27172,2
39880,2
27675,2
28206,2
2566,2
3937,2
3819,2
28258,2
3676,2
24862,2
45495,2
23626,2
31691,2
34650,2
6323,2
3154,2
42016,2
26308,2
37741,2
29017,2
1834,2
11526,2
1344,2
14562,2
43615,2
30046,2
47444,2
23061,2
41082,2
44225,2
34307,2
22725,2
15000,2
39419,2
13274,2
15315,2
45314,2
35987,2
6895,2
22551,2
3182,2
35091,2
31798,2
37923,2
27203,2
33634,2
45866,2
31988,2
37103,2
41027,2
35582,2
47898,2
17220,2
20211,2
48385,2
32221,2
15228,2
39658,2
45527,2
23523,2
1176,2
45370,2
27889,2
29653,2
45027,2
6458,2
33347,2
10828,2
40016,2
44009,2
43809,2
24126,2
29398,2
38082,2
43055,2
27210,2
23465,2
15678,2
34814,2
47431,2
4628,2
46419,2
17231,2
42870,2
17027,2
39475,2
34479,2
27517,2
14133,2
36679,2
10561,2
31991,2
13007,2
6016,2
30555,2
27368,2
29089,2
18489,2
48449,2
12727,2
32963,2
20335,2
78,2
38604,2
18700,2
19577,2
43667,2
15226,2
34137,2
12911,2
10004,2
5984,2
12158,2
35773,2
12527,2
10440,2
41344,2
44603,2
45599,2
46739,2
18897,2
6899,2
20058,2
46,2
12310,2
5353,2
3505,2
30961,2
32371,2
39280,2
18417,2
23916,2
24340,2
27664,2
5597,2
16131,2
9237,2
11109,2
36846,2
8634,2
21219,2
39989,2
26215,2
16998,2
43119,2
33804,2
27291,2
8336,2
40032,2
20725,2
13804,2
33141,2
23293,2
28913,2
5614,2
11221,2
14729,2
782,2
30988,2
9131,2
19760,2
14993,2
25870,2
13569,2
44499,2
35775,2
42775,2
20562,2
7430,2
22161,2
30625,2
41991,2
14260,2
37667,2
46953,2
15003,2
18438,2
14067,2
22811,2
10211,2
19166,2
3209,2
453,2
25254,2
1775,2
37427,2
42951,2
39130,2
9128,2
42946,2
2855,2
21838,2
14444,2
40106,2
